Product ID          Description         	Supplier Name           Item Price              	Item Qty                Reorder Point (ROP)                	Category               Unit of Measurement (UOM)     

P-1                   Notebook (60 Leaves)     MAR Merchandise               P295                           45                            10                            Paper & Pads                  10 pcs per Qty                
P-2                   Pad Paper (80 Leaves)    JB Merchandising Inc.         P228                           50                            10                            Paper & Pads                  10 pcs per Qty                
P-3                   Clear Ruler 1 ft         MAR Merchandise               P55                            50                            5                             Teaching & Art                12 pcs per Qty                
P-4                   Mongol Pencil #2         EPLUS Stationary              P120                           42                            5                             Writing & Correction          12 pcs per Qty                
P-5                   Elmer's Glue Small       Manuel Stationary, Inc        P252                           41                            10                            Teaching & Art                12 pcs per Qty                
P-6                   Plastic Envelope Short   Bonus Merchandising, Inc      P165                           43                            5                             Filing Supplies               25 pcs per Qty                
P-7                   Scissors Stainless (M)   Office Warehouse Store        P220                           15                            10                            General Supplies              12 pcs per Qty                
P-8                   Illustration Board 1/4   EPLUS Stationary              P900                           50                            15                            Paper & Pads                  3 ream per Qty                
P-9                   Permanent Marker Pilot   EPLUS Stationary              P192                           50                            5                             Writing & Correction          12 pcs per Qty                
P-10                  Crayola 8 Pcs            MAR Merchandise               P300                           50                            10                            Writing & Correction          12 pcs per Qty                
P-11                  Art Paper 500 Sheets     Bonus Merchandising, Inc      P750                           50                            15                            Paper & Pads                  3 ream per Qty                
P-12                  Eraser                   Bonus Merchandising, Inc      P120                           50                            5                             Writing & Correction          30 pcs per Qty                
P-13                  HBW Ballpen              JB Merchandising Inc.         P540                           50                            15                            Writing & Correction          98 pcs per Qty                
P-14                  Double Sided Tape        JB Merchandising Inc.         P150                           50                            5                             Packing Supplies              12 pcs per Qty                
P-15                  A4 BondPaper (20 Sheets) MAR Merchandise               P435                           50                            10                            Paper & Pads                  3 ream per Qty                
